X,Y,Z,Value
-1.0,0.0,0.0,0.986614
-1.0,0.0013020833333333333,0.0,0.986786
-1.0,0.0026041666666666665,0.0,0.986956
-1.0,0.00390625,0.0,0.987124
-1.0,0.005208333333333333,0.0,0.987289
-1.0,0.006510416666666666,0.0,0.987453
-1.0,0.0078125,0.0,0.987614
-1.0,0.009114583333333332,0.0,0.987773
-1.0,0.010416666666666666,0.0,0.98793
-1.0,0.01171875,0.0,0.988086
-1.0,0.013020833333333332,0.0,0.988239
-1.0,0.014322916666666666,0.0,0.98839
-1.0,0.015625,0.0,0.98854
-1.0,0.016927083333333332,0.0,0.988687
-1.0,0.018229166666666664,0.0,0.988832
-1.0,0.01953125,0.0,0.988976
-1.0,0.020833333333333332,0.0,0.989118
-1.0,0.022135416666666664,0.0,0.989258
-1.0,0.0234375,0.0,0.989396
-1.0,0.024739583333333332,0.0,0.989533
-1.0,0.026041666666666664,0.0,0.989667
-1.0,0.02734375,0.0,0.9898
-1.0,0.028645833333333332,0.0,0.989932
-1.0,0.029947916666666664,0.0,0.990061
-1.0,0.03125,0.0,0.990189
-1.0,0.03255208333333333,0.0,0.990315
-1.0,0.033854166666666664,0.0,0.99044
-1.0,0.03515625,0.0,0.990563
-1.0,0.03645833333333333,0.0,0.990685
-1.0,0.037760416666666664,0.0,0.990805
-1.0,0.0390625,0.0,0.990923
-1.0,0.04036458333333333,0.0,0.99104
-1.0,0.041666666666666664,0.0,0.991155
-1.0,0.04296875,0.0,0.991269
-1.0,0.04427083333333333,0.0,0.991382
-1.0,0.045572916666666664,0.0,0.991493
-1.0,0.046875,0.0,0.991602
-1.0,0.04817708333333333,0.0,0.991711
-1.0,0.049479166666666664,0.0,0.991817
-1.0,0.05078125,0.0,0.991923
-1.0,0.05208333333333333,0.0,0.992027
-1.0,0.053385416666666664,0.0,0.99213
-1.0,0.0546875,0.0,0.992231
-1.0,0.05598958333333333,0.0,0.992331
-1.0,0.057291666666666664,0.0,0.99243
-1.0,0.05859375,0.0,0.992528
-1.0,0.05989583333333333,0.0,0.992624
-1.0,0.061197916666666664,0.0,0.992719
-1.0,0.0625,0.0,0.992813
-1.0,0.06380208333333333,0.0,0.992905
-1.0,0.06510416666666666,0.0,0.992997
-1.0,0.06640625,0.0,0.993087
-1.0,0.06770833333333333,0.0,0.993176
-1.0,0.06901041666666666,0.0,0.993264
-1.0,0.0703125,0.0,0.993351
-1.0,0.07161458333333333,0.0,0.993437
-1.0,0.07291666666666666,0.0,0.993521
-1.0,0.07421875,0.0,0.993605
-1.0,0.07552083333333333,0.0,0.993687
-1.0,0.07682291666666666,0.0,0.993769
-1.0,0.078125,0.0,0.993849
-1.0,0.07942708333333333,0.0,0.993929
-1.0,0.08072916666666666,0.0,0.994007
-1.0,0.08203125,0.0,0.994084
-1.0,0.08333333333333333,0.0,0.994161
-1.0,0.08463541666666666,0.0,0.994236
-1.0,0.0859375,0.0,0.99431
-1.0,0.08723958333333333,0.0,0.994384
-1.0,0.08854166666666666,0.0,0.994456
-1.0,0.08984375,0.0,0.994528
-1.0,0.09114583333333333,0.0,0.994598
-1.0,0.09244791666666666,0.0,0.994668
-1.0,0.09375,0.0,0.994737
-1.0,0.09505208333333333,0.0,0.994805
-1.0,0.09635416666666666,0.0,0.994872
-1.0,0.09765625,0.0,0.994938
-1.0,0.09895833333333333,0.0,0.995003
-1.0,0.10026041666666666,0.0,0.995068
-1.0,0.1015625,0.0,0.995131
-1.0,0.10286458333333333,0.0,0.995194
-1.0,0.10416666666666666,0.0,0.995256
-1.0,0.10546875,0.0,0.995317
-1.0,0.10677083333333333,0.0,0.995378
-1.0,0.10807291666666666,0.0,0.995437
-1.0,0.109375,0.0,0.995496
-1.0,0.11067708333333333,0.0,0.995554
-1.0,0.11197916666666666,0.0,0.995612
-1.0,0.11328125,0.0,0.995668
-1.0,0.11458333333333333,0.0,0.995724
-1.0,0.11588541666666666,0.0,0.99578
-1.0,0.1171875,0.0,0.995834
-1.0,0.11848958333333333,0.0,0.995888
-1.0,0.11979166666666666,0.0,0.995941
-1.0,0.12109375,0.0,0.995993
-1.0,0.12239583333333333,0.0,0.996045
-1.0,0.12369791666666666,0.0,0.996096
-1.0,0.125,0.0,0.996147
-1.0,0.12630208333333331,0.0,0.996196
-1.0,0.12760416666666666,0.0,0.996245
-1.0,0.12890625,0.0,0.996294
-1.0,0.13020833333333331,0.0,0.996342
-1.0,0.13151041666666666,0.0,0.996389
-1.0,0.1328125,0.0,0.996436
-1.0,0.13411458333333331,0.0,0.996482
-1.0,0.13541666666666666,0.0,0.996527
-1.0,0.13671875,0.0,0.996572
-1.0,0.13802083333333331,0.0,0.996616
-1.0,0.13932291666666666,0.0,0.99666
-1.0,0.140625,0.0,0.996703
-1.0,0.14192708333333331,0.0,0.996746
-1.0,0.14322916666666666,0.0,0.996788
-1.0,0.14453125,0.0,0.996829
-1.0,0.14583333333333331,0.0,0.99687
-1.0,0.14713541666666666,0.0,0.996911
-1.0,0.1484375,0.0,0.99695
