Point ID,j,k_0,k_1,k_Magnitude,lambda,Points_0,Points_1,Points_2,Points_Magnitude,trials,u,u_active,u_d,u_essential,∂u_∂x,∂u_∂x_d,∂u_∂xx,∂u_∂xx_d,∂u_∂y,∂u_∂y_d
0,0,0,0,0,0,-1,0,0.00181583,1,1,0.999909,1,0.999909,1,-0.00181602,-0.00181602,-0.0362326,-0.0362326,0.00181583,0.00181583
1,4,0,0,0,2,-1,0.00260417,0.00172369,1,0,0.999914,1,-1.91726e-12,0,-0.00172417,4.69743e-08,-0.0343257,-1.37168e-05,0.00172369,-1.85867e-12
2,3,0,0,0,2,-1,0.00520833,0.00163622,1.00001,0,0.999918,1,-9.66255e-11,0,-0.00163673,7.69076e-08,-0.03258,-2.00954e-05,0.00163622,1.95102e-09
3,4,0,1,1,2,-1,0.0078125,0.00155318,1.00003,0,0.999922,1,6.18363e-13,0,-0.0015537,-8.74721e-09,-0.0309284,2.36118e-06,0.00155318,-1.85043e-11
4,2,0,0,0,2,-1,0.0104167,0.00147437,1.00006,0,0.999926,1,-3.99358e-09,0,-0.00147488,2.12725e-09,-0.0293599,-2.06772e-05,0.00147437,7.97716e-08
5,4,0,2,2,2,-1,0.0130208,0.00139955,1.00009,0,0.99993,1,-4.36689e-13,0,-0.00140005,3.69439e-09,-0.0278708,-1.00971e-06,0.00139955,7.66378e-12
6,3,0,1,1,2,-1,0.015625,0.00132852,1.00012,0,0.999934,1,3.12168e-11,0,-0.00132902,-8.10392e-09,-0.0264572,2.13475e-06,0.00132852,-6.27441e-10
7,4,0,3,3,2,-1,0.0182292,0.00126111,1.00017,0,0.999937,1,-3.93102e-13,0,-0.00126159,-1.32074e-10,-0.0251152,8.18915e-09,0.00126111,9.90029e-12
8,1,0,0,0,2,-1,0.0208333,0.00119711,1.00022,0,0.99994,1,-1.11605e-07,1,-0.00119758,-2.13721e-06,-0.0238413,-6.30485e-05,0.00119711,2.23065e-06
9,4,0,4,4,2,-1,0.0234375,0.00113636,1.00028,0,0.999943,1,-3.54369e-13,0,-0.00113682,-1.21531e-10,-0.022632,-4.33762e-09,0.00113636,3.92526e-12
10,3,0,2,2,2,-1,0.0260417,0.00107869,1.00034,0,0.999946,1,-2.1644e-11,0,-0.00107914,3.34813e-09,-0.0214839,-9.20109e-07,0.00107869,4.36622e-10
11,4,0,5,5,2,-1,0.0286458,0.00102395,1.00041,0,0.999949,1,-3.11584e-13,0,-0.00102439,-1.30566e-10,-0.0203941,-5.79098e-09,0.00102395,8.87498e-12
12,2,0,1,1,2,-1,0.03125,0.000971986,1.00049,0,0.999951,1,1.24962e-09,0,-0.000972413,1.54506e-08,-0.0193596,2.60671e-06,0.000971986,-2.49664e-08
13,4,0,6,6,2,-1,0.0338542,0.00092266,1.00057,0,0.999954,1,-2.96221e-13,0,-0.000923074,-1.38248e-10,-0.0183775,-6.94657e-09,0.00092266,7.82992e-12
14,3,0,3,3,2,-1,0.0364583,0.000875837,1.00066,0,0.999956,1,-1.75758e-11,0,-0.000876237,-3.28438e-10,-0.0174452,-6.60881e-09,0.000875837,3.55771e-10
15,4,0,7,7,2,-1,0.0390625,0.00083139,1.00076,0,0.999958,1,-2.59584e-13,0,-0.000831777,-1.53917e-10,-0.0165602,-6.44648e-09,0.00083139,2.19398e-12
16,0,0,1,1,0,-1,0.0416667,0.000789198,1.00087,1,0.999961,1,0.999961,1,-0.000789573,-0.000789573,-0.0157201,-0.0157201,0.000789198,0.000789198
17,4,0,8,8,2,-1,0.0442708,0.000749147,1.00098,0,0.999963,1,-2.32651e-13,0,-0.000749509,-1.67752e-10,-0.0149226,-6.77584e-09,0.000749147,6.02546e-12
18,3,0,4,4,2,-1,0.046875,0.000711129,1.0011,0,0.999964,1,-1.42733e-11,0,-0.000711479,-2.79062e-10,-0.0141656,-5.60748e-09,0.000711129,2.81651e-10
19,4,0,9,9,2,-1,0.0494792,0.000675041,1.00122,0,0.999966,1,-2.12495e-13,0,-0.000675377,-1.80855e-10,-0.0134469,-8.19944e-09,0.000675041,3.39971e-12
20,2,0,2,2,2,-1,0.0520833,0.000640783,1.00136,0,0.999968,1,-8.40245e-10,0,-0.000641108,-1.26382e-08,-0.0127647,-1.23511e-06,0.000640783,1.67892e-08
21,4,0,10,10,2,-1,0.0546875,0.000608264,1.00149,0,0.99997,1,-1.90303e-13,0,-0.000608577,-1.97218e-10,-0.0121171,-8.84085e-09,0.000608264,4.34764e-12
22,3,0,5,5,2,-1,0.0572917,0.000577396,1.00164,0,0.999971,1,-1.1588e-11,0,-0.000577697,-2.31338e-10,-0.0115024,-4.39698e-09,0.000577396,2.3366e-10
23,4,0,11,11,2,-1,0.0598958,0.000548094,1.00179,0,0.999973,1,-1.70759e-13,0,-0.000548383,-2.20813e-10,-0.0109188,-7.99916e-09,0.000548094,3.63469e-12
24,1,0,1,1,2,-1,0.0625,0.000520278,1.00195,0,0.999974,1,3.25587e-08,0,-0.000520557,6.39393e-07,-0.0103648,1.49771e-05,0.000520278,-6.50809e-07
25,4,0,12,12,2,-1,0.0651042,0.000493875,1.00212,0,0.999975,1,-1.56044e-13,0,-0.000494142,-2.38645e-10,-0.00983896,-9.70918e-09,0.000493875,1.84469e-13
26,3,0,6,6,2,-1,0.0677083,0.000468811,1.00229,0,0.999977,1,-9.41634e-12,0,-0.000469068,-1.87313e-10,-0.00933979,-3.65602e-09,0.000468811,1.95568e-10
27,4,0,13,13,2,-1,0.0703125,0.000445019,1.00247,0,0.999978,1,-1.29383e-13,0,-0.000445266,-2.64008e-10,-0.00886592,-1.02617e-08,0.000445019,4.65072e-12
28,2,0,3,3,2,-1,0.0729167,0.000422435,1.00266,0,0.999979,1,-5.5411e-10,0,-0.000422672,-1.10147e-08,-0.0084161,-2.18163e-07,0.000422435,1.10644e-08
29,4,0,14,14,2,-1,0.0755208,0.000400997,1.00285,0,0.99998,1,-1.30047e-13,0,-0.000401224,-2.86091e-10,-0.00798909,-1.23413e-08,0.000400997,4.36828e-12
30,3,0,7,7,2,-1,0.078125,0.000380646,1.00305,0,0.999981,1,-7.65813e-12,0,-0.000380865,-1.53021e-10,-0.00758376,-2.8197e-09,0.000380646,1.54389e-10
31,4,0,15,15,2,-1,0.0807292,0.000361329,1.00325,0,0.999982,1,-1.17018e-13,0,-0.000361538,-3.1492e-10,-0.00719897,-1.34978e-08,0.000361329,2.31856e-12
32,0,0,2,2,0,-1,0.0833333,0.000342992,1.00347,1,0.999983,1,0.999983,1,-0.000343193,-0.000343193,-0.00683373,-0.00683373,0.000342992,0.000342992
33,4,0,16,16,2,-1,0.0859375,0.000325585,1.00369,0,0.999984,1,-1.04887e-13,0,-0.000325778,-3.46874e-10,-0.00648699,-1.48274e-08,0.000325585,3.90162e-12
34,3,0,8,8,2,-1,0.0885417,0.000309062,1.00391,0,0.999985,1,-6.19964e-12,0,-0.000309247,-1.23014e-10,-0.00615786,-2.60732e-09,0.000309062,1.17004e-10
35,4,0,17,17,2,-1,0.0911458,0.000293377,1.00415,0,0.999985,1,-1.00742e-13,0,-0.000293554,-3.88204e-10,-0.00584541,-1.50476e-08,0.000293377,-3.28268e-12
36,2,0,4,4,2,-1,0.09375,0.000278488,1.00438,0,0.999986,1,-3.65393e-10,0,-0.000278658,-7.289e-09,-0.00554884,-1.44818e-07,0.000278488,7.30881e-09
37,4,0,18,18,2,-1,0.0963542,0.000264355,1.00463,0,0.999987,1,-6.69291e-14,0,-0.000264517,-4.34976e-10,-0.00526728,-1.62201e-08,0.000264355,-5.5448e-14
38,3,0,9,9,2,-1,0.0989583,0.000250939,1.00488,0,0.999987,1,-5.0464e-12,0,-0.000251095,-1.00883e-10,-0.00500005,-1.81703e-09,0.000250939,9.35542e-11
